연도,구명,일일인구,10대인구,20대인구,30대인구,40대인구,50대인구,60대이상인구,월요일인구,화요일인구,수요일인구,목요일인구,금요일인구,토요일인구,일요일인구,남성인구,여성인구
2019Y 1Q,강동구,594587,90903,75819,90574,90761,94626,151857,83932,83502,83815,83690,84362,87063,88178,279128,315448
2019Y 1Q,강북구,398595,51835,57664,51910,59050,63805,114299,56265,56394,56088,55928,56345,58394,59140,183305,215279
2019Y 1Q,강서구,542867,90498,73356,93209,83241,75927,126594,76852,76674,76736,76484,76714,79054,80305,253145,289716
2019Y 1Q,관악구,743842,79460,183254,136329,98776,89844,156130,103423,103352,103780,104036,105058,111626,112509,367354,376482
2019Y 1Q,광진구,491034,66082,96629,81356,69747,71487,105693,68825,68800,68919,68912,69761,72761,73013,231510,259515
2019Y 1Q,구로구,346356,43447,46910,58577,56799,54663,85923,49427,49353,49394,49194,49186,49306,50453,168005,178343
2019Y 1Q,금천구,189975,20592,27524,33004,30051,32424,46355,27219,27166,27092,27003,27038,27045,27382,94254,95716
2019Y 1Q,노원구,172928,25890,29709,21146,24169,27221,44767,24114,24039,24204,24133,24605,26069,25735,80516,92408
2019Y 1Q,도봉구,203888,28713,25776,25966,29570,32985,60843,28837,28961,28728,28552,28590,29776,30404,93871,110012
2019Y 1Q,동대문구,484677,62616,84814,69045,68904,70736,128530,69062,68746,69168,69431,68896,69682,69649,234402,250268
2019Y 1Q,동작구,435096,57438,88785,70517,57857,57196,103267,61507,61355,61585,61748,61824,63665,63367,205298,229792
2019Y 1Q,마포구,534670,69192,124176,101170,83115,62233,94738,74615,74928,75808,77013,78351,78974,74938,245443,289218
2019Y 1Q,서대문구,336691,44743,76270,51272,49623,43642,71108,48428,48626,48854,49484,49278,46830,45148,156177,180508
2019Y 1Q,서초구,525082,64110,92686,104555,90830,69422,103444,77256,76910,78618,80624,79979,68785,62867,257568,267506
2019Y 1Q,성동구,290431,37867,50864,50148,44819,42784,63915,41749,41738,42148,42579,42304,40435,39442,140697,149728
2019Y 1Q,성북구,433770,68184,83214,58137,61453,59449,103292,61224,61218,61523,61610,61574,63021,63548,199345,234419
2019Y 1Q,송파구,435516,63548,64257,78668,67736,64441,96829,61592,61461,62060,62545,62780,63091,61943,204044,231465
2019Y 1Q,양천구,366474,67557,43032,51561,57493,56540,90252,51847,51879,51782,51497,51717,53480,54223,172443,194022
2019Y 1Q,영등포구,463064,49534,71005,79327,74650,75144,113361,65852,65755,66121,66413,66913,66032,65933,227098,235956
2019Y 1Q,용산구,256146,27898,47501,50930,41787,33063,54926,36291,36183,36520,36928,37319,36680,36176,123710,132429
2019Y 1Q,은평구,473038,72772,62147,68576,71908,71115,126486,66833,66713,66510,66181,66350,69592,70818,215205,257826
